freq,unit,mot_nrg,engine,geo,year,registration_count
A,NR,DIE,CC1400-1999,AT,1970,
A,NR,DIE,CC1400-1999,BA,1970,
A,NR,DIE,CC1400-1999,BE,1970,
A,NR,DIE,CC1400-1999,CH,1970,
A,NR,DIE,CC1400-1999,CY,1970,
A,NR,DIE,CC1400-1999,CZ,1970,
A,NR,DIE,CC1400-1999,DE,1970,
A,NR,DIE,CC1400-1999,EE,1970,
A,NR,DIE,CC1400-1999,EL,1970,
A,NR,DIE,CC1400-1999,ES,1970,
A,NR,DIE,CC1400-1999,FI,1970,
A,NR,DIE,CC1400-1999,FR,1970,
A,NR,DIE,CC1400-1999,GE,1970,
A,NR,DIE,CC1400-1999,HR,1970,
A,NR,DIE,CC1400-1999,HU,1970,
A,NR,DIE,CC1400-1999,IE,1970,
A,NR,DIE,CC1400-1999,IS,1970,
A,NR,DIE,CC1400-1999,IT,1970,
A,NR,DIE,CC1400-1999,LI,1970,
A,NR,DIE,CC1400-1999,LT,1970,
A,NR,DIE,CC1400-1999,LU,1970,
A,NR,DIE,CC1400-1999,LV,1970,
A,NR,DIE,CC1400-1999,MD,1970,
A,NR,DIE,CC1400-1999,ME,1970,
A,NR,DIE,CC1400-1999,MT,1970,
A,NR,DIE,CC1400-1999,NO,1970,
A,NR,DIE,CC1400-1999,PL,1970,
A,NR,DIE,CC1400-1999,PT,1970,
A,NR,DIE,CC1400-1999,RO,1970,
A,NR,DIE,CC1400-1999,RS,1970,
A,NR,DIE,CC1400-1999,SE,1970,
A,NR,DIE,CC1400-1999,SI,1970,
A,NR,DIE,CC1400-1999,TR,1970,
A,NR,DIE,CC1400-1999,UA,1970,
A,NR,DIE,CC1400-1999,UK,1970,
A,NR,DIE,CC1400-1999,XK,1970,
A,NR,DIE,CC_GE2000,AT,1970,
A,NR,DIE,CC_GE2000,BA,1970,
A,NR,DIE,CC_GE2000,BE,1970,
A,NR,DIE,CC_GE2000,CH,1970,
A,NR,DIE,CC_GE2000,CY,1970,
A,NR,DIE,CC_GE2000,CZ,1970,
A,NR,DIE,CC_GE2000,DE,1970,
A,NR,DIE,CC_GE2000,EE,1970,
A,NR,DIE,CC_GE2000,EL,1970,
A,NR,DIE,CC_GE2000,ES,1970,
A,NR,DIE,CC_GE2000,FI,1970,
A,NR,DIE,CC_GE2000,FR,1970,
A,NR,DIE,CC_GE2000,GE,1970,
A,NR,DIE,CC_GE2000,HR,1970,
A,NR,DIE,CC_GE2000,HU,1970,
A,NR,DIE,CC_GE2000,IE,1970,
A,NR,DIE,CC_GE2000,IS,1970,
A,NR,DIE,CC_GE2000,IT,1970,
A,NR,DIE,CC_GE2000,LI,1970,
A,NR,DIE,CC_GE2000,LT,1970,
A,NR,DIE,CC_GE2000,LU,1970,
A,NR,DIE,CC_GE2000,LV,1970,
A,NR,DIE,CC_GE2000,MD,1970,
A,NR,DIE,CC_GE2000,ME,1970,
A,NR,DIE,CC_GE2000,MT,1970,
A,NR,DIE,CC_GE2000,NO,1970,
A,NR,DIE,CC_GE2000,PL,1970,
A,NR,DIE,CC_GE2000,PT,1970,
A,NR,DIE,CC_GE2000,RO,1970,
A,NR,DIE,CC_GE2000,RS,1970,
A,NR,DIE,CC_GE2000,SE,1970,
A,NR,DIE,CC_GE2000,SI,1970,
A,NR,DIE,CC_GE2000,TR,1970,
A,NR,DIE,CC_GE2000,UA,1970,
A,NR,DIE,CC_GE2000,UK,1970,
A,NR,DIE,CC_GE2000,XK,1970,
A,NR,DIE,CC_LT1400,AT,1970,
A,NR,DIE,CC_LT1400,BA,1970,
A,NR,DIE,CC_LT1400,BE,1970,
A,NR,DIE,CC_LT1400,CH,1970,
A,NR,DIE,CC_LT1400,CY,1970,
A,NR,DIE,CC_LT1400,CZ,1970,
A,NR,DIE,CC_LT1400,DE,1970,
A,NR,DIE,CC_LT1400,EE,1970,
A,NR,DIE,CC_LT1400,EL,1970,
A,NR,DIE,CC_LT1400,ES,1970,
A,NR,DIE,CC_LT1400,FI,1970,
A,NR,DIE,CC_LT1400,FR,1970,
A,NR,DIE,CC_LT1400,GE,1970,
A,NR,DIE,CC_LT1400,HR,1970,
A,NR,DIE,CC_LT1400,HU,1970,
A,NR,DIE,CC_LT1400,IE,1970,
A,NR,DIE,CC_LT1400,IS,1970,
A,NR,DIE,CC_LT1400,IT,1970,
A,NR,DIE,CC_LT1400,LI,1970,
A,NR,DIE,CC_LT1400,LT,1970,
A,NR,DIE,CC_LT1400,LU,1970,
A,NR,DIE,CC_LT1400,LV,1970,
A,NR,DIE,CC_LT1400,MD,1970,
A,NR,DIE,CC_LT1400,ME,1970,
A,NR,DIE,CC_LT1400,MT,1970,
A,NR,DIE,CC_LT1400,NO,1970,
A,NR,DIE,CC_LT1400,PL,1970,
A,NR,DIE,CC_LT1400,PT,1970,
A,NR,DIE,CC_LT1400,RO,1970,
A,NR,DIE,CC_LT1400,RS,1970,
A,NR,DIE,CC_LT1400,SE,1970,
A,NR,DIE,CC_LT1400,SI,1970,
A,NR,DIE,CC_LT1400,TR,1970,
A,NR,DIE,CC_LT1400,UA,1970,
A,NR,DIE,CC_LT1400,UK,1970,
A,NR,DIE,CC_LT1400,XK,1970,
A,NR,DIE,TOTAL,AL,1970,
A,NR,DIE,TOTAL,AT,1970,
A,NR,DIE,TOTAL,BA,1970,
A,NR,DIE,TOTAL,BE,1970,
A,NR,DIE,TOTAL,BG,1970,
A,NR,DIE,TOTAL,CH,1970,
A,NR,DIE,TOTAL,CY,1970,
A,NR,DIE,TOTAL,CZ,1970,
A,NR,DIE,TOTAL,DE,1970,
A,NR,DIE,TOTAL,DK,1970,
A,NR,DIE,TOTAL,EE,1970,
A,NR,DIE,TOTAL,EL,1970,
A,NR,DIE,TOTAL,ES,1970,
A,NR,DIE,TOTAL,EU27_2020,1970,
A,NR,DIE,TOTAL,FI,1970,
A,NR,DIE,TOTAL,FR,1970,
A,NR,DIE,TOTAL,GE,1970,
A,NR,DIE,TOTAL,HR,1970,
A,NR,DIE,TOTAL,HU,1970,
A,NR,DIE,TOTAL,IE,1970,
A,NR,DIE,TOTAL,IS,1970,
A,NR,DIE,TOTAL,IT,1970,
A,NR,DIE,TOTAL,LI,1970,
A,NR,DIE,TOTAL,LT,1970,
A,NR,DIE,TOTAL,LU,1970,
A,NR,DIE,TOTAL,LV,1970,
A,NR,DIE,TOTAL,MD,1970,
A,NR,DIE,TOTAL,ME,1970,
A,NR,DIE,TOTAL,MT,1970,
A,NR,DIE,TOTAL,NL,1970,
A,NR,DIE,TOTAL,NO,1970,
A,NR,DIE,TOTAL,PL,1970,
A,NR,DIE,TOTAL,PT,1970,
A,NR,DIE,TOTAL,RO,1970,
A,NR,DIE,TOTAL,RS,1970,
A,NR,DIE,TOTAL,SE,1970,
A,NR,DIE,TOTAL,SI,1970,
A,NR,DIE,TOTAL,SK,1970,
A,NR,DIE,TOTAL,TR,1970,
A,NR,DIE,TOTAL,UA,1970,
A,NR,DIE,TOTAL,UK,1970,
A,NR,DIE,TOTAL,XK,1970,
A,NR,PET,CC1400-1999,AT,1970,
A,NR,PET,CC1400-1999,BA,1970,
A,NR,PET,CC1400-1999,BE,1970,
A,NR,PET,CC1400-1999,CH,1970,
A,NR,PET,CC1400-1999,CY,1970,
A,NR,PET,CC1400-1999,CZ,1970,
A,NR,PET,CC1400-1999,DE,1970,
A,NR,PET,CC1400-1999,EE,1970,
A,NR,PET,CC1400-1999,EL,1970,
A,NR,PET,CC1400-1999,ES,1970,
A,NR,PET,CC1400-1999,FI,1970,
A,NR,PET,CC1400-1999,FR,1970,
A,NR,PET,CC1400-1999,GE,1970,
A,NR,PET,CC1400-1999,HR,1970,
A,NR,PET,CC1400-1999,HU,1970,
A,NR,PET,CC1400-1999,IE,1970,9843.0
A,NR,PET,CC1400-1999,IS,1970,
A,NR,PET,CC1400-1999,IT,1970,
A,NR,PET,CC1400-1999,LI,1970,
A,NR,PET,CC1400-1999,LT,1970,
A,NR,PET,CC1400-1999,LU,1970,
A,NR,PET,CC1400-1999,LV,1970,
A,NR,PET,CC1400-1999,MD,1970,
A,NR,PET,CC1400-1999,ME,1970,
A,NR,PET,CC1400-1999,MT,1970,
A,NR,PET,CC1400-1999,NO,1970,
A,NR,PET,CC1400-1999,PL,1970,
A,NR,PET,CC1400-1999,PT,1970,
A,NR,PET,CC1400-1999,RO,1970,
A,NR,PET,CC1400-1999,RS,1970,
A,NR,PET,CC1400-1999,SE,1970,
A,NR,PET,CC1400-1999,SI,1970,
A,NR,PET,CC1400-1999,TR,1970,
A,NR,PET,CC1400-1999,UA,1970,
A,NR,PET,CC1400-1999,UK,1970,
A,NR,PET,CC1400-1999,XK,1970,
A,NR,PET,CC_GE2000,AT,1970,
A,NR,PET,CC_GE2000,BA,1970,
A,NR,PET,CC_GE2000,BE,1970,
A,NR,PET,CC_GE2000,CH,1970,
A,NR,PET,CC_GE2000,CY,1970,
A,NR,PET,CC_GE2000,CZ,1970,
A,NR,PET,CC_GE2000,DE,1970,
A,NR,PET,CC_GE2000,EE,1970,
A,NR,PET,CC_GE2000,EL,1970,
A,NR,PET,CC_GE2000,ES,1970,
A,NR,PET,CC_GE2000,FI,1970,
A,NR,PET,CC_GE2000,FR,1970,
A,NR,PET,CC_GE2000,GE,1970,
A,NR,PET,CC_GE2000,HR,1970,
A,NR,PET,CC_GE2000,HU,1970,
A,NR,PET,CC_GE2000,IE,1970,2355.0
A,NR,PET,CC_GE2000,IS,1970,
A,NR,PET,CC_GE2000,IT,1970,
A,NR,PET,CC_GE2000,LI,1970,
A,NR,PET,CC_GE2000,LT,1970,
A,NR,PET,CC_GE2000,LU,1970,
A,NR,PET,CC_GE2000,LV,1970,
A,NR,PET,CC_GE2000,MD,1970,
A,NR,PET,CC_GE2000,ME,1970,
A,NR,PET,CC_GE2000,MT,1970,
A,NR,PET,CC_GE2000,NO,1970,
A,NR,PET,CC_GE2000,PL,1970,
A,NR,PET,CC_GE2000,PT,1970,
